802,638,1
682,642,19
710,561,19
796,512,19
872,536,19
914,634,19
884,730,19
801,792,19
701,756,19
800,857,37
693,814,37
662,674,37
698,548,37
804,468,37
953,524,37
1092,552,37
1202,545,37
1160,680,37
1020,694,37
920,792,37
649,669,55
709,496,55
870,437,55
1045,401,55
1188,437,55
1128,632,55
1010,729,55
920,873,55
768,910,55
664,820,55
630,670,74
706,482,74
880,412,74
1050,374,74
1106,485,74
1065,658,74
978,769,74
889,922,74
682,869,74
626,689,92
664,522,92
845,398,92
1082,358,92
1057,557,92
986,742,92
868,937,92
696,898,92
625,709,111
646,557,111
738,442,111
788,554,111
874,652,111
926,766,111
892,894,111
673,857,111
628,728,129
644,589,129
712,462,129
765,550,129
790,657,129
872,708,129
814,786,129
825,921,129
698,885,129
637,717,148
650,602,148
702,490,148
732,588,148
758,710,148
748,793,148
782,897,148
698,866,148
654,690,166
697,532,166
710,678,166
710,826,166
676,609,185
