1014,642,20
928,642,31
949,544,31
1020,485,31
1092,534,31
1118,626,31
1100,732,31
1026,772,31
956,734,31
888,630,42
920,520,42
1029,450,42
1118,508,42
1158,650,42
1125,773,42
1025,820,42
906,757,42
868,624,53
909,481,53
1029,422,53
1141,498,53
1182,618,53
1157,786,53
1017,852,53
910,804,53
852,632,64
892,465,64
1032,405,64
1160,472,64
1197,625,64
1184,789,64
1040,862,64
888,808,64
849,628,75
881,482,75
1026,402,75
1160,454,75
1194,553,75
1212,728,75
1126,853,75
925,858,75
830,657,86
870,529,86
1010,401,86
1140,441,86
1204,610,86
1182,805,86
1029,890,86
870,821,86
822,676,97
864,541,97
1020,430,97
1105,474,97
1214,656,97
1173,828,97
1034,909,97
878,842,97
821,701,108
853,564,108
925,509,108
1030,578,108
1129,508,108
1221,692,108
1161,860,108
1006,921,108
866,832,108
852,718,119
846,592,119
934,525,119
969,602,119
1065,598,119
1113,528,119
1208,680,119
1152,841,119
1069,905,119
896,861,119
1058,828,130
1116,822,130
1084,877,130
1008,869,130
