1308,284,327
1400,237,327
1512,272,327
1618,357,327
1621,473,327
1562,508,327
1466,424,327
1341,370,327
1270,272,341
1370,202,341
1484,241,341
1577,309,341
1604,422,341
1514,444,341
1426,409,341
1320,356,341
1241,244,355
1309,246,355
1350,185,355
1457,212,355
1536,270,355
1573,406,355
1481,442,355
1400,377,355
1337,356,355
1312,297,355
1264,294,355
1320,182,369
1428,198,369
1510,252,369
1560,328,369
1541,424,369
1452,416,369
1401,338,369
1336,258,369
1281,249,369
1246,224,369
1216,250,369
1244,281,369
1265,202,383
1360,176,383
1465,224,383
1533,310,383
1509,406,383
1433,382,383
1385,304,383
1322,260,383
1221,268,383
1188,237,383
1220,214,383
1249,233,383
1333,205,397
1418,206,397
1469,253,397
1502,340,397
1473,393,397
1416,360,397
1370,308,397
1334,249,397
1270,240,397
1212,209,397
1262,178,397
1313,209,397
1469,357,411
1481,305,411
1437,257,411
1377,237,411
1313,193,411
1257,206,411
1186,210,411
1166,252,411
1225,246,411
1262,236,411
1302,260,411
1342,266,411
1393,309,411
1416,349,411
1446,342,425
1436,296,425
1406,296,425
1404,350,425
1381,290,425
1366,236,425
1326,242,425
1334,290,425
1262,262,425
1309,220,425
1236,213,425
1200,266,425
1166,261,425
1154,281,425
1128,265,425
1148,244,425
1348,322,439
1377,296,439
1417,324,439
1386,345,439
1282,302,439
1330,280,439
1290,256,439
1237,276,439
1182,285,439
1133,288,439
1149,262,439
1193,250,439
1302,326,453
1330,305,453
1354,332,453
1328,342,453
1214,305,453
1240,296,453
1214,274,453
1188,288,453
1317,320,461
